id,row,osm_id,name,latitud,longitud,linea_1,linea_2,linea_3,sentido,pantalla
1,5321926758,5321926758,Ambulatorio Central_subida,40.0330275,-6.0846439,1,1,0,1,0
2,5321949687,5321949687,Ambulatorio Central_bajada,40.0330755,-6.0847262,1,1,0,0,1
3,6164149076,6164149076,Arcos de San Antón_subida,40.0369096,-6.0851852,0,0,0,1,0
4,6164149075,6164149075,Arcos de San Antón (Universidad)_subida,40.0353292,-6.0851846,0,1,0,1,0
5,-,-,Avenida del Valle 45 (escaleras mecánicas)_bajada,40.0296621,-6.0856836,0,0,1,0,1
6,6109844817,6109844817,Avenida Extremadura_subida,40.0389235,-6.0913562,0,1,1,1,0
7,6109844818,6109844818,Avenida Extremadura_bajada,40.0388363,-6.0915269,0,1,1,0,0
8,-,-,Avenida Martin Palomino 4_subida,40.0103898,-6.1090094,1,0,0,1,0
9,6109844811,6109844811,Bioclimática_bajada,40.0433695,-6.0852192,0,1,0,0,0
10,6109844812,6109844812,Bioclimática_subida,40.0433038,-6.0853654,0,1,0,1,0
11,4545283007,4545283007,Bravo Murillo_subida,40.0359896,-6.0781173,0,0,1,1,0
12,4545283008,4545283008,Bravo Murillo_bajada,40.0360759,-6.0783573,0,0,1,0,0
13,-,-,B. San Miguel – Iglesia (C San Cristobal)_bajada,40.0253828,-6.0978622,0,1,1,0,1
14,6109870878,6109870878,Cámara Comercio y Múltiples_subida,40.0443119,-6.0684391,1,0,0,1,0
15,6109870879,6109870879,Cámara Comercio y Múltiples_bajada,40.0443715,-6.068662,1,0,0,0,0
16,6164124663,6164124663,Cañón de La Salud / Pta. Trujillo_bajada,40.0273214,-6.0935307,0,1,0,0,0
17,4544838926,4544838926,Carretera Trujillo,40.0137191,-6.0924966,0,0,1,2,0
18,4545282992,4545282992,Catedral (Calvo Sotelo)_subida,40.027439,-6.0906171,1,1,1,1,0
19,,,Catedral (Calvo Sotelo)_bajada,40.0272533,-6.0910000,1,1,1,0,0
20,6164095026,6164095026,Centro Cívico_subida,40.0430949,-6.0770485,1,0,0,1,0
21,6164095027,6164095027,Centro Cívico_bajada,40.0433238,-6.0765937,1,0,0,0,0
22,6109844820,6109844820,Centro de Salud La Data_subida,40.041006,-6.0855886,0,0,1,1,0
23,6109844821,6109844821,Centro de Salud La Data_bajada,40.0410481,-6.0852647,0,0,1,0,0
24,4545287316,4545287316,Centro Menores_subida,40.0479056,-6.0854077,0,1,1,1,0
